Category ID,Category Name,Seconds From Channel Published,Subscribers,Total Videos,Total Views In Video,Seconds Since Video Published,Views,Likes
10,Music,100906064,9930000,889,3662383127,100474,581459,14062.jpg
10,Music,100906064,9930000,889,3662383127,14070,170732,8382.jpg
10,Music,100906064,9930000,889,3662383127,142225,23102,1751.jpg
10,Music,100906064,9930000,889,3662383127,186868,4619927,175218.jpg
10,Music,100906064,9930000,889,3662383127,212166,48714,3767.jpg
10,Music,100906064,9930000,889,3662383127,273267,1445283,37613.jpg
10,Music,100906064,9930000,889,3662383127,359672,1591838,8476.jpg
10,Music,100906064,9930000,889,3662383127,385130,20902,1342.jpg
10,Music,100906064,9930000,889,3662383127,88114,11701,1150.jpg
10,Music,100906065,9930000,889,3662383127,1050872,8538947,214547.jpg
10,Music,100906065,9930000,889,3662383127,1076520,29529,1751.jpg
10,Music,100906065,9930000,889,3662383127,1137272,1546420,19169.jpg
10,Music,100906065,9930000,889,3662383127,1162753,30248,3248.jpg
10,Music,100906065,9930000,889,3662383127,413673,155950,5005.jpg
10,Music,100906065,9930000,889,3662383127,446070,740749,5694.jpg
10,Music,100906065,9930000,889,3662383127,532470,1627946,15741.jpg
10,Music,100906065,9930000,889,3662383127,618871,1971545,30039.jpg
10,Music,100906065,9930000,889,3662383127,644160,40288,3000.jpg
10,Music,100906065,9930000,889,3662383127,705274,9590290,251557.jpg
10,Music,100906065,9930000,889,3662383127,730769,27091,1560.jpg
10,Music,100906065,9930000,889,3662383127,791672,3835441,66190.jpg
10,Music,100906065,9930000,889,3662383127,817511,23679,2152.jpg
10,Music,100906065,9930000,889,3662383127,903404,30820,1986.jpg
10,Music,100906065,9930000,889,3662383127,964473,1028375,10995.jpg
10,Music,100906066,9930000,889,3662383127,1223674,1105441,9653.jpg
10,Music,104294721,215000,136,46788334,1032570,12211,126.jpg
10,Music,104294721,215000,136,46788334,1116372,15643,308.jpg
10,Music,104294721,215000,136,46788334,1291108,11603,136.jpg
10,Music,104294721,215000,136,46788334,1464296,34868,326.jpg
10,Music,104294721,215000,136,46788334,1546829,16617,240.jpg
10,Music,104294721,215000,136,46788334,169654,12137,476.jpg
10,Music,104294721,215000,136,46788334,256114,8712,106.jpg
10,Music,104294721,215000,136,46788334,340183,5377,64.jpg
10,Music,104294721,215000,136,46788334,441098,24522,985.jpg
10,Music,104294721,215000,136,46788334,860276,14691,220.jpg
10,Music,104294721,215000,136,46788334,946601,21981,194.jpg
10,Music,104294722,215000,136,46788334,1638036,44468,487.jpg
10,Music,104294722,215000,136,46788334,1724093,32720,1172.jpg
10,Music,104294722,215000,136,46788334,1809758,21990,408.jpg
10,Music,104294722,215000,136,46788334,1905263,93946,1535.jpg
10,Music,104294722,215000,136,46788334,1983379,32851,513.jpg
10,Music,104294722,215000,136,46788334,2062974,33296,654.jpg
10,Music,104294722,215000,136,46788334,2156878,28274,361.jpg
10,Music,104294722,215000,136,46788334,2239526,20452,340.jpg
10,Music,104294722,215000,136,46788334,2500798,21157,147.jpg
10,Music,104294722,215000,136,46788334,2585330,15361,197.jpg
10,Music,104294723,215000,136,46788334,2672881,28182,411.jpg
10,Music,104294723,215000,136,46788334,2760375,113330,2081.jpg
10,Music,104294723,215000,136,46788334,2845881,23676,308.jpg
10,Music,104294723,215000,136,46788334,3104810,84272,1418.jpg
10,Music,105466215,2020,1323,2058431,5138706,35,2.jpg
10,Music,105466215,2020,1323,2058431,5228941,30,0.jpg
10,Music,105466215,2020,1323,2058431,5251875,10,1.jpg
10,Music,105466215,2020,1323,2058431,5412733,5,0.jpg
10,Music,105466215,2020,1323,2058431,5420740,1,0.jpg
10,Music,105466215,2020,1323,2058431,5489348,3,0.jpg
10,Music,105466215,2020,1323,2058431,5583186,3,1.jpg
10,Music,105466215,2020,1323,2058431,5700170,33,1.jpg
10,Music,105466215,2020,1323,2058431,5786573,11,1.jpg
10,Music,105466215,2020,1323,2058431,5896939,100,2.jpg
10,Music,105466216,2020,1323,2058431,5937490,6,0.jpg
10,Music,105466216,2020,1323,2058431,6075692,11,0.jpg
10,Music,105466216,2020,1323,2058431,6132176,30,0.jpg
10,Music,105466216,2020,1323,2058431,6204770,68,0.jpg
10,Music,105466216,2020,1323,2058431,6294404,6,0.jpg
10,Music,105466216,2020,1323,2058431,6354126,6,1.jpg
10,Music,105466216,2020,1323,2058431,6500550,2,0.jpg
10,Music,105466216,2020,1323,2058431,6522081,5,0.jpg
10,Music,105466216,2020,1323,2058431,6618158,4,0.jpg
10,Music,105466216,2020,1323,2058431,6766675,9,0.jpg
10,Music,105466216,2020,1323,2058431,6782600,13,0.jpg
10,Music,105466216,2020,1323,2058431,6954051,48,2.jpg
10,Music,105466216,2020,1323,2058431,7153552,5,0.jpg
10,Music,105466216,2020,1323,2058431,7255367,11,0.jpg
10,Music,105466216,2020,1323,2058431,7312971,1,0.jpg
10,Music,128028713,3140000,101,1809581564,18666747,85025019,130171.jpg
10,Music,128538255,3990000,350,1324908585,1182882,534457,23212.jpg
10,Music,128538255,3990000,350,1324908585,146600,178102,10772.jpg
10,Music,128538255,3990000,350,1324908585,1525300,517108,33150.jpg
10,Music,128538255,3990000,350,1324908585,226584,128984,7928.jpg
10,Music,128538255,3990000,350,1324908585,314160,341054,20019.jpg
10,Music,128538255,3990000,350,1324908585,407962,200947,16669.jpg
10,Music,128538255,3990000,350,1324908585,495128,435043,29005.jpg
10,Music,128538255,3990000,350,1324908585,849803,171390,10106.jpg
10,Music,128538255,3990000,350,1324908585,893002,40961,2812.jpg
10,Music,128538256,3990000,350,1324908585,1779654,595040,33427.jpg
10,Music,128538256,3990000,350,1324908585,2296085,3721861,268596.jpg
10,Music,128538256,3990000,350,1324908585,2829263,3052285,180989.jpg
10,Music,128538256,3990000,350,1324908585,2908387,876844,44403.jpg
10,Music,128538256,3990000,350,1324908585,2995221,16554726,913143.jpg
10,Music,128538256,3990000,350,1324908585,3257118,2348216,149355.jpg
10,Music,128538256,3990000,350,1324908585,3512615,6911285,357231.jpg
10,Music,128538256,3990000,350,1324908585,3757689,706263,33086.jpg
10,Music,128538256,3990000,350,1324908585,4210207,2791798,153284.jpg
10,Music,128538256,3990000,350,1324908585,4467812,2807048,165438.jpg
10,Music,128538256,3990000,350,1324908585,4478663,491779,21718.jpg
10,Music,128538256,3990000,350,1324908585,4557529,1686630,79872.jpg
10,Music,128538256,3990000,350,1324908585,4722858,25229284,951624.jpg
10,Music,128538256,3990000,350,1324908585,4806508,1365141,81185.jpg
10,Music,128538257,3990000,350,1324908585,4875946,2278144,95871.jpg
10,Music,128538257,3990000,350,1324908585,5062043,1160792,43687.jpg
10,Music,161790592,12900000,475,4047470255,109906,42422,214.jpg
10,Music,161790593,12900000,475,4047470255,4689119,2417486,4917.jpg
10,Music,161790594,12900000,475,4047470255,4861953,1091285,1485.jpg
